Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
436.567,0.1,0.0,0.0,0.0,0.0,0.0
436.666,0.1,0.0,0.0,0.0,0.0,0.0
436.767,0.1,0.0,0.0,0.0,0.0,0.0
436.866,0.1,0.0,0.0,0.0,0.0,0.0
436.967,0.1,0.0,0.0,0.0,0.0,0.0
437.067,0.1,0.0,0.0,0.0,0.0,0.0
437.166,0.1,0.0,0.0,0.0,0.0,0.0
437.266,0.1,0.0,0.0,0.0,0.0,0.0
437.366,0.1,0.0,0.0,0.0,0.0,0.0
437.466,0.1,0.0,0.0,0.0,0.0,0.0
437.566,0.1,0.0,0.0,0.0,0.0,0.0
437.666,0.1,0.0,0.0,0.0,0.0,0.0
437.766,0.1,0.0,0.0,0.0,0.0,0.0
437.866,0.1,0.0,0.0,0.0,0.0,0.0
437.966,0.1,0.0,0.0,0.0,0.0,0.0
438.066,0.1,0.0,0.0,0.0,0.0,0.0
438.166,0.1,0.0,0.0,0.0,0.0,0.0
438.266,0.1,0.0,0.0,0.0,0.0,0.0
438.366,0.1,0.0,0.0,0.0,0.0,0.0
438.466,0.1,0.0,0.0,0.0,0.0,0.0
438.566,0.1,0.0,0.0,0.0,0.0,0.0
438.667,0.1,0.0,0.0,0.0,0.0,0.0
438.766,0.1,0.0,0.0,0.0,0.0,0.0
438.866,0.1,0.0,0.0,0.0,0.0,0.0
438.966,0.1,0.0,0.0,0.0,0.0,0.0
439.066,0.1,0.0,0.0,0.0,0.0,0.0
439.166,0.1,0.0,0.0,0.0,0.0,0.0
439.266,0.1,0.0,0.0,0.0,0.0,0.0
439.366,0.1,0.0,0.0,0.0,0.0,0.0
439.466,0.1,0.0,0.0,0.0,0.0,0.0
439.566,0.1,0.0,0.0,0.0,0.0,0.0
439.666,0.1,0.0,0.0,0.0,0.0,0.0
439.766,0.1,0.0,0.0,0.0,0.0,0.0
439.867,0.1,0.0,0.0,0.0,0.0,0.0
439.966,0.1,0.0,0.0,0.0,0.0,0.0
440.066,0.1,0.0,0.0,0.0,0.0,0.0
440.166,0.1,0.0,0.0,0.0,0.0,0.0
440.266,0.1,0.0,0.0,0.0,0.0,0.0
440.366,0.1,0.0,0.0,0.0,0.0,0.0
440.466,0.1,0.0,0.0,0.0,0.0,0.0
440.566,0.1,0.0,0.0,0.0,0.0,0.0
440.666,0.1,0.0,0.0,0.0,0.0,0.0
440.767,0.1,0.0,0.0,0.0,0.0,0.0
440.866,0.1,0.0,0.0,0.0,0.0,0.0
440.966,0.1,0.0,0.0,0.0,0.0,0.0
441.066,0.1,0.0,0.0,0.0,0.0,0.0
441.166,0.1,0.0,0.0,0.0,0.0,0.0
441.267,0.1,0.0,0.0,0.0,0.0,0.0
441.366,0.1,0.0,0.0,0.0,0.0,0.0
441.466,0.1,0.0,0.0,0.0,0.0,0.0
441.566,0.1,0.0,0.0,0.0,0.0,0.0
441.666,0.1,0.0,0.0,0.0,0.0,0.0
441.766,0.1,0.0,0.0,0.0,0.0,0.0
441.866,0.1,0.0,0.0,0.0,0.0,0.0
441.966,0.1,0.0,0.0,0.0,0.0,0.0
442.066,0.1,0.0,0.0,0.0,0.0,0.0
442.166,0.1,0.0,0.0,0.0,0.0,0.0
442.266,0.1,0.0,0.0,0.0,0.0,0.0
442.366,0.1,0.0,0.0,0.0,0.0,0.0
442.466,0.1,0.0,0.0,0.0,0.0,0.0
442.566,0.1,0.0,0.0,0.0,0.0,0.0
442.666,0.1,0.0,0.0,0.0,0.0,0.0
442.766,0.1,0.0,0.0,0.0,0.0,0.0
442.868,0.1,0.0,0.0,0.0,0.0,0.0
442.966,0.1,0.0,0.0,0.0,0.0,0.0
443.066,0.1,0.0,0.0,0.0,0.0,0.0
443.166,0.1,0.0,0.0,0.0,0.0,0.0
443.266,0.1,0.0,0.0,0.0,0.0,0.0
443.366,0.1,0.0,0.0,0.0,0.0,0.0
443.466,0.1,0.0,0.0,0.0,0.0,0.0
443.566,0.1,0.0,0.0,0.0,0.0,0.0
443.666,0.1,0.0,0.0,0.0,0.0,0.0
443.766,0.1,0.0,0.0,0.0,0.0,0.0
443.866,0.1,0.0,0.0,0.0,0.0,0.0
443.966,0.1,0.0,0.0,0.0,0.0,0.0
444.066,0.1,0.0,0.0,0.0,0.0,0.0
444.166,0.1,0.0,0.0,0.0,0.0,0.0
444.266,0.1,0.0,0.0,0.0,0.0,0.0
444.366,0.1,0.0,0.0,0.0,0.0,0.0
444.466,0.1,0.0,0.0,0.0,0.0,0.0
444.566,0.1,0.0,0.0,0.0,0.0,0.0
444.667,0.1,0.0,0.0,0.0,0.0,0.0
444.766,0.1,0.0,0.0,0.0,0.0,0.0
444.866,0.1,0.0,0.0,0.0,0.0,0.0
444.965,0.1,0.0,0.0,0.0,0.0,0.0
445.066,0.1,0.0,0.0,0.0,0.0,0.0
445.166,0.1,0.0,0.0,0.0,0.0,0.0
445.266,0.1,0.0,0.0,0.0,0.0,0.0
445.366,0.1,0.0,0.0,0.0,0.0,0.0
445.466,0.1,0.0,0.0,0.0,0.0,0.0
445.567,0.1,0.0,0.0,0.0,0.0,0.0
445.667,0.1,0.0,0.0,0.0,0.0,0.0
445.766,0.1,0.0,0.0,0.0,0.0,0.0
445.867,0.1,0.0,0.0,0.0,0.0,0.0
445.967,0.1,0.0,0.0,0.0,0.0,0.0
446.066,0.1,0.0,0.0,0.0,0.0,0.0
446.166,0.1,0.0,0.0,0.0,0.0,0.0
446.266,0.1,0.0,0.0,0.0,0.0,0.0
446.367,0.1,0.0,0.0,0.0,0.0,0.0
446.466,0.1,0.0,0.0,0.0,0.0,0.0
446.566,0.1,0.0,0.0,0.0,0.0,0.0
446.666,0.1,0.0,0.0,0.0,0.0,0.0
446.766,0.1,0.0,0.0,0.0,0.0,0.0
446.866,0.1,0.0,0.0,0.0,0.0,0.0
446.966,0.1,0.0,0.0,0.0,0.0,0.0
447.066,0.1,0.0,0.0,0.0,0.0,0.0
447.166,0.1,0.0,0.0,0.0,0.0,0.0
447.266,0.1,0.0,0.0,0.0,0.0,0.0
447.366,0.1,0.0,0.0,0.0,0.0,0.0
447.466,0.1,0.0,0.0,0.0,0.0,0.0
447.566,0.1,0.0,0.0,0.0,0.0,0.0
447.666,0.1,0.0,0.0,0.0,0.0,0.0
447.766,0.1,0.0,0.0,0.0,0.0,0.0
447.866,0.1,0.0,0.0,0.0,0.0,0.0
447.966,0.1,0.0,0.0,0.0,0.0,0.0
448.066,0.1,0.0,0.0,0.0,0.0,0.0
448.166,0.1,0.0,0.0,0.0,0.0,0.0
448.266,0.1,0.0,0.0,0.0,0.0,0.0
448.367,0.1,0.0,0.0,0.0,0.0,0.0
448.466,0.1,0.0,0.0,0.0,0.0,0.0
448.566,0.1,0.0,0.0,0.0,0.0,0.0
448.666,0.1,0.0,0.0,0.0,0.0,0.0
448.766,0.1,0.0,0.0,0.0,0.0,0.0
448.867,0.1,0.0,0.0,0.0,0.0,0.0
448.966,0.1,0.0,0.0,0.0,0.0,0.0
449.066,0.1,0.0,0.0,0.0,0.0,0.0
449.166,0.1,0.0,0.0,0.0,0.0,0.0
449.266,0.1,0.0,0.0,0.0,0.0,0.0
449.366,0.1,0.0,0.0,0.0,0.0,0.0
449.466,0.1,0.0,0.0,0.0,0.0,0.0
449.565,0.1,0.0,0.0,0.0,0.0,0.0
449.669,0.1,0.0,0.0,0.0,0.0,0.0
449.766,0.1,0.0,0.0,0.0,0.0,0.0
449.866,0.1,0.0,0.0,0.0,0.0,0.0
449.966,0.1,0.0,0.0,0.0,0.0,0.0
450.066,0.1,0.0,0.0,0.0,0.0,0.0
450.166,0.1,0.0,0.0,0.0,0.0,0.0
450.266,0.1,0.0,0.0,0.0,0.0,0.0
